mass,tone,fat,muscle,weight
-0.2,-0.3,10.93,16.8,46.03
-0.1,-0.3,23.65,12.4,54.35
0.0,-0.3,30.36,15.97,64.63
0.1,-0.3,44.8,20.83,83.93
0.2,-0.3,45.81,29.03,93.14
-0.2,-0.15,5.73,17.74,41.76
-0.1,-0.15,11.96,21.9,52.16
0.0,-0.15,13.14,24.32,55.76
0.1,-0.15,13.05,25.32,56.67
0.2,-0.15,42.26,16.71,77.27
-0.2,0.0,5.89,18.66,42.85
-0.1,0.0,13.08,23.46,54.85
0.0,0.0,13.22,23.98,55.5
0.1,0.0,13.1,24.66,56.06
0.2,0.0,35.56,13.99,67.85
-0.2,0.15,6.45,20.42,45.17
-0.1,0.15,12.79,24.01,55.1
0.0,0.15,13.1,23.96,55.36
0.1,0.15,13.06,24.3,55.66
0.2,0.15,20.87,20.11,59.28
-0.2,0.3,6.47,21.39,46.16
-0.1,0.3,6.89,23.33,48.52
0.0,0.3,7.09,25.96,51.35
0.1,0.3,7.54,28.09,53.93
0.2,0.3,8.79,29.12,56.2
