mass,tone,fat,muscle,weight
-0.2,-0.21,32.0,35.12,96.64
-0.1,-0.21,45.47,36.18,111.16
0.0,-0.21,48.04,45.94,123.49
0.1,-0.21,48.46,71.01,148.98
0.2,-0.21,49.68,97.79,176.99
-0.2,-0.06,23.14,34.03,86.68
-0.1,-0.06,27.88,34.39,91.78
0.0,-0.06,25.22,39.55,94.28
0.1,-0.06,24.73,40.98,95.23
0.2,-0.06,48.41,66.43,144.36
-0.2,0.09,13.04,39.77,82.32
-0.1,0.09,26.37,36.08,91.97
0.0,0.09,24.6,38.68,92.8
0.1,0.09,24.84,39.03,93.38
0.2,0.09,45.42,45.54,120.48
-0.2,0.24,12.91,41.7,84.12
-0.1,0.24,25.33,37.39,92.24
0.0,0.24,25.53,37.45,92.5
0.1,0.24,25.7,37.53,92.75
0.2,0.24,24.25,52.87,106.64
-0.2,0.39,14.46,43.26,87.23
-0.1,0.39,14.93,47.99,92.43
0.0,0.39,15.78,51.14,96.44
0.1,0.39,20.76,50.41,100.69
0.2,0.39,23.87,50.59,103.97
