mass,tone,fat,muscle,weight
0.04,-0.3,43.9,29.56,101.04
0.14,-0.3,47.8,53.75,129.14
0.24,-0.3,49.77,66.45,143.81
0.34,-0.3,48.01,75.86,151.46
0.44,-0.3,50.28,91.4,169.27
0.04,-0.15,28.93,34.02,90.54
0.14,-0.15,42.13,36.66,106.39
0.24,-0.15,48.52,34.1,110.21
0.34,-0.15,47.39,37.6,112.57
0.44,-0.15,50.14,83.05,160.77
0.04,0.0,14.84,37.33,79.77
0.14,0.0,46.1,35.64,109.33
0.24,0.0,46.96,36.15,110.7
0.34,0.0,47.75,35.96,111.3
0.44,0.0,50.93,54.43,132.95
0.04,0.15,8.03,38.43,74.04
0.14,0.15,45.96,35.52,109.08
0.24,0.15,45.89,36.28,109.76
0.34,0.15,45.74,37.18,110.51
0.44,0.15,43.74,39.92,111.25
0.04,0.3,10.75,39.13,77.47
0.14,0.3,10.98,44.42,82.99
0.24,0.3,11.95,45.41,84.95
0.34,0.3,12.03,49.36,88.97
0.44,0.3,15.72,54.92,98.23
