mass,tone,fat,muscle,weight
0.0,-0.3,23.5,34.2,83.63
0.1,-0.3,46.4,32.16,104.49
0.2,-0.3,50.33,46.17,122.43
0.3,-0.3,48.05,49.56,123.53
0.4,-0.3,48.85,77.65,152.42
0.0,-0.15,15.49,32.35,73.77
0.1,-0.15,24.15,37.11,87.19
0.2,-0.15,29.02,34.1,89.04
0.3,-0.15,24.33,41.21,91.47
0.4,-0.15,49.73,62.74,138.4
0.0,0.0,8.51,30.74,65.18
0.1,0.0,28.59,33.06,87.58
0.2,0.0,28.6,33.98,88.5
0.3,0.0,28.69,34.44,89.06
0.4,0.0,46.63,39.6,112.16
0.0,0.15,7.91,35.12,68.97
0.1,0.15,28.7,33.04,87.67
0.2,0.15,28.62,33.36,87.91
0.3,0.15,28.7,33.61,88.24
0.4,0.15,21.03,48.39,95.35
0.0,0.3,8.82,37.99,72.73
0.1,0.3,10.38,41.86,78.17
0.2,0.3,10.48,45.84,82.24
0.3,0.3,12.0,44.67,82.59
0.4,0.3,12.2,51.12,89.25
