mass,tone,fat,muscle,weight
0.04,-0.3,36.43,33.08,101.7
0.14,-0.3,48.17,47.49,127.85
0.24,-0.3,48.49,64.37,145.05
0.34,-0.3,48.44,72.41,153.04
0.44,-0.3,51.46,88.43,172.09
0.04,-0.15,23.63,36.57,92.4
0.14,-0.15,34.68,41.04,107.93
0.24,-0.15,37.83,41.93,111.96
0.34,-0.15,43.13,37.97,113.3
0.44,-0.15,52.59,77.6,162.38
0.04,0.0,19.56,29.4,81.16
0.14,0.0,36.0,42.6,110.8
0.24,0.0,37.51,42.2,111.9
0.34,0.0,36.46,44.28,112.93
0.44,0.0,49.15,55.48,136.82
0.04,0.15,11.01,33.87,77.08
0.14,0.15,35.78,42.56,110.54
0.24,0.15,37.28,41.53,111.01
0.34,0.15,40.1,39.0,111.3
0.44,0.15,38.34,44.89,115.42
0.04,0.3,10.98,38.07,81.25
0.14,0.3,11.77,43.04,87.0
0.24,0.3,11.95,45.06,89.21
0.34,0.3,11.58,49.74,93.52
0.44,0.3,19.22,51.16,102.57
