mass,tone,fat,muscle,weight
-0.13,-0.32,10.45,24.94,63.2
-0.03,-0.32,22.93,32.15,82.89
0.07,-0.32,43.95,29.5,101.25
0.17,-0.32,48.08,55.47,131.36
0.27,-0.32,48.23,58.73,134.77
-0.13,-0.17,6.0,27.88,61.68
-0.03,-0.17,11.26,32.61,71.68
0.07,-0.17,10.37,37.38,75.55
0.17,-0.17,10.73,36.8,75.33
0.27,-0.17,47.6,45.47,120.88
-0.13,-0.02,6.73,30.29,64.83
-0.03,-0.02,9.83,35.6,73.23
0.07,-0.02,9.75,36.44,74.0
0.17,-0.02,9.83,37.03,74.67
0.27,-0.02,33.47,40.25,101.52
-0.13,0.13,8.61,31.19,67.6
-0.03,0.13,9.83,35.88,73.51
0.07,0.13,9.92,36.14,73.86
0.17,0.13,9.83,36.44,74.07
0.27,0.13,12.57,45.58,85.96
-0.13,0.28,9.33,31.01,68.14
-0.03,0.28,8.7,37.45,73.95
0.07,0.28,8.44,42.86,79.11
0.17,0.28,12.22,43.92,83.94
0.27,0.28,12.08,44.97,84.86
