mass,tone,fat,muscle,weight
0.4,-0.3,50.69,81.05,166.65
0.5,-0.3,53.04,112.74,200.68
0.6,-0.3,53.9,112.4,201.2
0.7,-0.3,53.1,116.3,204.29
0.8,-0.3,53.1,120.26,208.26
0.4,-0.15,50.69,66.97,152.56
0.5,-0.15,47.4,52.2,134.5
0.6,-0.15,47.89,47.05,129.84
0.7,-0.15,45.14,49.07,129.11
0.8,-0.15,51.74,90.41,177.05
0.4,0.0,46.09,45.12,126.11
0.5,0.0,45.77,45.55,126.23
0.6,0.0,45.76,45.74,126.4
0.7,0.0,45.74,45.77,126.41
0.8,0.0,52.93,59.03,146.86
0.4,0.15,23.83,50.21,108.94
0.5,0.15,43.72,46.51,125.13
0.6,0.15,43.66,46.64,125.2
0.7,0.15,44.35,45.95,125.2
0.8,0.15,42.57,47.02,124.49
0.4,0.3,14.64,53.36,102.9
0.5,0.3,14.78,60.63,110.31
0.6,0.3,15.93,59.7,110.53
0.7,0.3,15.86,60.37,111.13
0.8,0.3,15.99,60.8,111.69
