mass,tone,fat,muscle,weight
-0.2,-0.3,5.56,39.79,72.41
-0.1,-0.3,14.02,43.44,84.52
0.0,-0.3,29.25,48.99,105.29
0.1,-0.3,51.85,50.51,129.42
0.2,-0.3,51.73,71.57,150.37
-0.2,-0.15,6.78,42.47,76.31
-0.1,-0.15,9.24,36.86,73.16
0.0,-0.15,11.0,37.02,75.08
0.1,-0.15,10.76,37.69,75.51
0.2,-0.15,50.77,45.49,123.32
-0.2,0.0,7.65,45.39,80.1
-0.1,0.0,10.65,35.75,73.46
0.0,0.0,10.77,35.47,73.3
0.1,0.0,10.74,36.24,74.04
0.2,0.0,28.73,53.53,109.32
-0.2,0.15,10.63,46.29,83.99
-0.1,0.15,11.0,35.24,73.31
0.0,0.15,10.82,35.65,73.53
0.1,0.15,10.85,35.84,73.76
0.2,0.15,10.66,60.17,97.9
-0.2,0.3,10.83,45.98,83.87
-0.1,0.3,10.73,49.74,87.53
0.0,0.3,10.54,55.66,93.26
0.1,0.3,10.56,62.22,99.84
0.2,0.3,11.84,65.54,104.44
