mass,tone,fat,muscle,weight
-0.2,-0.21,34.09,28.97,92.82
-0.1,-0.21,45.14,32.66,107.56
0.0,-0.21,48.35,41.57,119.68
0.1,-0.21,49.47,65.6,144.83
0.2,-0.21,50.48,92.38,172.62
-0.2,-0.06,22.83,30.76,83.35
-0.1,-0.06,24.29,38.49,92.54
0.0,-0.06,26.51,38.61,94.89
0.1,-0.06,25.04,41.41,96.21
0.2,-0.06,50.34,60.01,140.11
-0.2,0.09,12.8,36.49,79.05
-0.1,0.09,24.06,40.43,94.26
0.0,0.09,25.83,39.01,94.6
0.1,0.09,26.32,38.75,94.83
0.2,0.09,45.61,41.34,116.72
-0.2,0.24,11.43,39.82,81.02
-0.1,0.24,25.94,38.47,94.18
0.0,0.24,25.24,39.56,94.57
0.1,0.24,25.23,39.82,94.81
0.2,0.24,24.24,49.1,103.1
-0.2,0.39,12.41,42.01,84.19
-0.1,0.39,12.64,46.96,89.37
0.0,0.39,12.94,50.74,93.44
0.1,0.39,16.49,51.6,97.86
0.2,0.39,17.86,53.74,101.37
